,,TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
World,Production,Peat,..,..,..,..,..,..,..,..,..,..,..,15026.56439,18846.45569,14326.08432,11950.5142,14203.22993,8805.029079,10047.66324,8477.798585,13096.84499,8945.15942,11879.78511,10777.37563,9227.713634,7005.746616,6707.078957,8798.150114,5631.604775,8370.687093,7940.635449,7635.234716,5991.224016,7246.919112,4935.659106,5356.252098,7239.362164,5386.3469,6513.807566,2381.655353,5182.000338,2908.950138,3443.606583,3701.312809,3752.142109,2905.834725,4468.291326,5893.511245,2646.154606,2384.210671,4612.466538,4459.207608,3178.453051,2295.249191,4594.662294,4036.043257,2090.108527,2407.137292,..
World,Production,Peat products,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Oil shale and oil sands,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5518.03803,4797.146826,3996.92505,2975.230665,3170.984081,2907.246211,3495.367289,3454.704501,2436.695697,2066.024035,2976.089395,2732.42469,2739.591581,2734.310911,2666.496577,2949.114567,3450.666409,3193.962289,3253.816016,2681.858205,3721.223587,4638.146991,4572.127519,5126.354361,3477.814595,3576.548905,3250.352741,..
World,Production,Natural gas,..,..,..,..,..,..,..,..,..,..,..,893470.005,914635.6268,806221.5436,957091.6835,1091317.65,988104.0472,1012202.207,946791.4051,1419464.965,1444975.064,1393221.79,1160407.842,1476169.781,1422516.063,1279812.642,1368944.258,1780932.011,1543349.151,1835308.087,1600396.242,1484766.32,1511305.473,1549716.953,1449819.155,1978164.251,2140570.899,1626163.047,1836038.589,2273111.71,1842086.672,2128674.475,2532946.983,2030554.75,2055740.247,2685116.996,2049097.277,2944605.869,2572159.232,2413830.507,2794648.606,2927014.566,2920303.366,3130855.56,2474017.307,3433979.85,2776999.527,2955060.858
World,Production,Crude/NGL/feedstocks (if no detail),..,..,..,..,..,..,..,..,..,..,..,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
World,Production,Crude oil,..,..,..,..,..,..,..,..,..,..,..,2649165.648,2948420.079,2835352.194,3263882.148,2877024.578,3230806.063,2851473.013,3295457.092,3337120.464,2621139.279,2712438.306,3201407.556,2885882.793,2588683.315,2175160.196,3264283.866,2319228.723,2978649.266,3293015.572,3301606.183,2844732.52,3349889.816,3421540.42,3186075.447,3459337.749,3565060.604,3746808.949,3272133.989,3192257.71,3693777.68,2861153.456,3486677.482,3094292.289,3239768.722,3550843.353,3547217.439,3998604.033,3271759.064,4324263.839,3059704.665,4448353.975,3404422.434,3038429.141,3125828.394,3644712.369,3894262.253,4186679.407
World,Production,Natural gas liquids,..,..,..,..,..,..,..,..,..,..,..,95195.01266,109048.4324,87992.13653,115697.2285,115445.4982,112235.4022,110997.5029,121568.9252,109877.7125,135341.0735,115118.4503,142845.6478,164846.5188,174535.9782,138325.4356,161027.3645,193933.8031,186430.059,198811.8496,179478.0536,175298.0147,170756.3252,200357.8339,206457.8059,191159.9625,248967.3109,237835.8565,214061.2085,293853.3486,301608.5161,232749.9165,260574.7882,261045.8805,311908.9991,284309.4817,320143.9762,273238.2076,264056.894,360794.1593,367340.1865,353985.7292,445671.7711,312282.6531,438012.7242,471469.833,490038.9725,485959.5149
World,Production,Refinery feedstocks,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,Production,Additives/blending components,..,..,..,..,..,..,..,..,..,..,..,88.71090848,87.71748792,78.05749167,66.21664368,68.8205846,87.86874576,90.11694784,95.83728666,97.80255812,1021.679422,913.447032,1054.413443,1409.062305,1614.988664,1826.459443,1484.913535,1544.551993,2035.20246,1548.583173,1235.358548,1138.180618,1182.59997,4391.497887,6254.840199,6250.410515,5728.236707,6185.587441,6263.553053,9224.020142,7075.668488,8914.785165,7139.939824,7294.771859,6008.652977,6893.151645,4828.191293,4867.814407,4580.335898,4396.988654,7479.314099,5599.757726,4887.315693,6426.128624,5916.096531,5642.505092,5229.320637,0
World,Production,Other hydrocarbons,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,240.0410357,275.4477484,208.4315069,1715.105802,1236.220361,7178.512213,7440.595374,8986.923085,10665.01099,7363.694858,8369.778219,9185.58017,10159.61887,10600.57682,10286.97907,13801.42458,13362.15385,12667.35406,14649.6351,15608.81232,18474.48781,16685.07896,21334.78599,20795.29806,24814.53473,25425.94708,19117.48057,29017.72835,27158.40299,27104.89942,22929.97283,27801.50097,48537.07893,40177.47933,47152.14014,49404.6459,53312.33489,56957.50613,59840.46968,51465.49371,50680.04072,44018.64865,42703.47634
World,Production,Refinery gas,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Ethane,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Liquefied petroleum gases (LPG),..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Motor gasoline excl. biofuels,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Aviation gasoline,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Gasoline type jet fuel,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Kerosene type jet fuel excl. biofuels,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Other kerosene,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Gas/diesel oil excl. biofuels,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Fuel oil,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Naphtha,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,White spirit & SBP,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Lubricants,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Bitumen,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Paraffin waxes,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Petroleum coke,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Other oil products,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Industrial waste,..,..,..,..,..,..,..,..,..,..,..,175.3835933,238.4161385,280.8525861,796.0921086,866.2503304,916.2960613,793.0146856,1114.537049,1082.740648,974.8166217,906.1548852,1228.334785,1295.839496,1189.433665,1481.444346,1259.517693,1258.563864,1879.971847,1734.62738,3814.516862,5717.976684,9890.10911,8923.900524,9225.76839,9389.167827,7342.913417,9804.036296,7926.547485,10768.27422,10348.69874,11539.44326,11786.34028,9217.476679,10042.80698,9904.28578,13248.37709,10093.98746,12646.35567,11241.64163,17996.31838,17935.0608,17702.164,18833.92702,18683.64277,17604.24414,22752.96272,..
World,Production,Municipal waste (renewable),..,..,..,..,..,..,..,..,..,..,..,648.0770367,787.8741312,863.8238548,741.26218,1114.178497,977.4720092,1046.160164,1445.682879,1484.02811,1776.327025,2455.183319,2173.923828,2360.088602,2800.769935,2391.275136,3537.697172,2761.308303,3164.596201,3106.519151,5337.151492,5380.244306,4550.32335,4907.570189,7029.044655,6465.713531,6891.272192,6303.829464,6163.332185,8427.768179,9428.198016,8361.055486,9257.899084,9936.613966,9745.638423,11769.0753,11317.35753,14432.86277,14190.43626,13374.50694,13108.24726,16065.06857,13679.52428,14617.51538,19040.75068,15191.96717,15253.50481,..
World,Production,Municipal waste (non-renewable),..,..,..,..,..,..,..,..,..,..,..,0,51.16675814,39.44946316,44.55535708,46.35521347,52.80330131,90.65050989,89.74805875,88.15001327,196.4712825,213.9342796,243.9936325,276.778304,401.3091329,454.5680886,566.7455254,622.4835891,513.018497,1113.584743,4975.621951,4902.77688,5422.858761,5831.134226,6283.901709,5472.7241,7020.163542,5788.210509,7092.940552,9414.663294,10054.48667,8110.875807,10036.67431,8343.387104,10777.14785,12247.75663,12810.68591,13519.5403,10539.53374,11273.98193,14953.76233,17445.25716,17671.08587,16690.68118,15790.236,18590.14311,19342.83431,..
World,Production,Primary solid biofuels,..,..,..,..,..,..,..,..,..,..,..,564563.6175,615474.4705,458686.4992,688611.3623,475354.5201,696543.3061,639302.3207,605842.3244,635679.2737,650838.4928,611545.0127,620518.6848,824832.1352,830763.7611,723581.2403,677326.4352,843831.8516,700326.1537,920950.6264,734772.3778,804826.226,857232.575,881884.6203,895244.0305,1068249.787,975445.5757,895103.114,801268.5912,1062068.753,1076650.235,1114445.31,971371.792,1087783.934,999924.6839,1110321.105,1219836.295,961124.0037,1243905.043,1160347.363,1271550.224,1089375.975,1002820.319,1210987.169,939628.6651,1159982.884,984794.1241,..
World,Production,Biogases,..,..,..,..,..,..,..,..,..,..,..,80.34652339,83.12737682,77.36949923,95.23473823,96.06983293,109.8414927,78.02419846,97.92256589,93.02311708,97.98282061,85.12953823,125.4309737,124.9509876,123.739333,108.4804646,169.7466169,179.3541262,177.9487207,489.2201355,1429.388278,1935.932147,1974.947014,2207.239899,3319.418211,2838.854171,3155.627906,3907.537236,4256.481682,5614.589064,5762.555308,9568.051853,11393.58971,11158.35314,10055.78219,10812.68898,15357.75678,17145.0346,21432.1201,23896.30995,24161.93887,20445.64287,29438.06798,23545.94059,34036.05784,29612.16286,27170.31615,..
World,Production,Biogasoline,..,..,..,..,..,..,..,..,..,..,..,1052.298935,1069.63063,1058.385279,896.9611163,1032.870135,958.6994031,1562.891718,1663.587617,2492.150439,1973.666746,1524.813116,2654.987293,2538.991403,2497.56883,2808.3895,1942.739733,1952.133798,2107.099318,2041.127021,2049.708831,2686.066724,2587.04952,4734.223707,5114.848009,4718.85754,4685.534827,5343.593671,5230.440623,7874.860968,7810.729071,7804.497749,9945.364598,12155.76964,10337.3871,14476.7433,16250.74771,22250.03832,21417.00917,26262.4423,33220.14662,38644.23074,38276.04181,41686.28803,41404.76244,43423.35294,51369.81707,..
World,Production,Biodiesels,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.598565415,6.825081633,13.9121931,25.0101121,99.78782221,171.8325864,277.185873,278.8300588,347.8595212,440.0022497,641.7849413,745.8894835,1146.568939,1463.737099,1722.891087,2784.087159,4025.697193,6604.404055,13368.8848,14471.82501,15151.92838,21557.03464,24241.44829,24325.96376,26528.00576,24388.01803,27018.17888,..
World,Production,Bio jet kerosene,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935481588,0,0,0,0.855423521,0,..
World,Production,Other liquid biofuels,..,..,..,..,..,..,..,..,..,..,..,30.13465489,5.335401381,46.72470621,45.46158642,19.16855715,44.04505693,15.46448068,42.82243664,84.02261607,539.6000288,1014.744091,783.5045087,2314.63546,3315.089446,3388.388818,3320.06986,4191.100953,3721.918595,5836.231638,5446.182509,4254.995689,5267.976293,3381.038613,4227.973875,5117.577697,3520.686865,5310.906322,3421.577574,2851.501494,2373.420209,1617.232364,2762.525956,2662.440304,3089.870066,4095.795934,6700.136116,6896.757222,7746.864667,10190.67281,10078.71679,7077.681665,8044.658307,8537.614026,8166.933768,11089.39819,10335.43359,..
World,Production,Non-specified primary biofuels and waste,..,..,..,..,..,..,..,..,..,..,..,69947.61864,86113.68907,75040.47013,82713.33292,71137.47683,65192.19692,75333.82657,84528.3721,82269.61214,99671.21458,96424.62502,82245.12467,79294.85009,111326.6558,100546.1411,74647.3182,93409.57542,88743.14301,76771.37028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Charcoal,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Elec/heat output from non-specified manufactured gases,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Heat output from non-specified combustible fuels,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Nuclear,..,..,..,..,..,..,..,..,..,..,..,26890.03837,34453.77778,54567.58293,58396.95382,95127.33658,128024.1456,157261.762,136545.6584,136632.2763,217068.319,253391.844,224270.4604,301800.547,392579.3792,373527.3254,348855.8249,455928.7782,504237.8258,584574.6728,454965.5831,551565.3302,503242.3345,519613.87,621313.3403,513869.6626,549832.9394,701658.0949,513616.3702,628046.6464,744978.4906,725213.9875,583511.5314,660639.3747,716042.1027,722152.4599,732714.279,760033.9879,693081.6272,747265.492,806201.2889,555642.6769,624706.9955,770515.4557,694621.5849,583952.2991,568881.1333,..
World,Production,Hydro,..,..,..,..,..,..,..,..,..,..,..,121906.335,100988.7692,101802.3552,125009.8878,112372.378,138255.97,115199.0302,159936.5494,161102.1269,168964.3842,142566.0014,179995.6671,143670.6717,152424.4401,141764.1936,156872.733,168472.523,163118.6533,177173.1774,187835.7647,189222.8225,181951.6024,215127.957,225711.6069,244369.5846,220489.9172,214963.5426,180156.3406,184378.2286,182014.6726,193688.6481,220989.667,184004.8274,256567.6438,268581.2057,282778.8371,226354.3393,300418.8035,242066.0687,286957.6741,314687.6681,277971.1775,315614.8102,390470.6529,310931.5734,336917.5857,..
World,Production,Geothermal,..,..,..,..,..,..,..,..,..,..,..,4610.360375,5152.151193,5456.654062,6163.139853,7221.808959,7245.482342,7361.660917,9565.708026,10211.67761,10000.58636,15427.44653,13616.84981,15249.42757,22168.8606,19061.40413,21717.20946,23231.58446,28874.55457,35205.28697,35792.03561,38088.30544,42328.06617,33971.32533,43886.69251,31472.84078,48534.96802,49321.45406,42256.20109,45704.31022,57318.96166,50361.52181,47147.25419,50878.31391,48498.95657,54799.06161,57785.51156,48248.88361,53922.5872,67543.17546,50524.56989,74008.32042,63361.84827,65412.14309,86572.1091,83071.03485,68821.34478,..
World,Production,Solar photovoltaics,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917672767,1.898162624,2.267317467,0.856110049,0.997660401,1.093151021,8.024977873,8.701446227,11.63048059,11.43140837,15.98786213,17.3387475,21.54184006,19.83715653,30.66206763,59.43946258,79.35361715,98.59457594,141.3358442,166.4071117,216.4047327,324.8117393,470.2638168,546.4237825,920.4197576,1610.023797,2725.22693,4998.716318,7764.051127,9781.008212,14369.89216,23182.55736,30009.45123,..
World,Production,Solar thermal,..,..,..,..,..,..,..,..,..,..,..,0,0,0,3.433723841,2.449862759,5.640289717,6.374811432,9.412740776,14.51752324,30.85799208,36.46633045,50.44895314,53.12345249,53.6102751,305.6654478,403.653656,448.8060707,524.4963199,817.5616698,2265.838904,1923.35875,2203.448871,2009.83163,2332.104884,2951.442505,2379.598739,3201.504758,3517.252696,4635.903598,5316.536584,5264.201723,4954.116953,6853.688667,6665.390184,8454.781398,8062.73653,10496.64995,8942.339519,14740.96756,15687.25266,18766.86152,19891.48494,28666.66257,31063.08877,38952.87884,40422.42434,..
World,Production,"Tide, wave and ocean",..,..,..,..,..,..,..,..,..,..,..,43.81587366,46.28607464,42.98560978,43.36434222,52.46921471,37.71260957,33.90234877,37.72586988,41.59897689,51.16331344,53.35503511,50.06372062,58.68551517,56.41082433,64.21573073,62.60566093,55.30487658,50.43777586,58.8974442,37.15150199,51.57869612,52.73900709,44.04822446,45.15299132,39.03796861,46.14126327,39.21108981,41.05224179,43.04597732,56.2638889,37.50933606,50.24065433,51.86776036,38.6229929,37.23039702,45.10262882,46.66899726,42.55081045,36.20183104,48.46215721,50.26242135,40.9987455,67.82638561,71.04337529,86.13254104,78.69727375,..
World,Production,Wind,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0.958383379,0.900125342,0.859492399,2.170691962,2.865923992,3.39952865,4.643134615,10.43245174,15.1715099,33.68869712,235.7882022,396.4347558,377.3082985,439.3102399,513.4003218,586.9765865,756.591484,956.804691,1038.741899,1135.655635,1669.428884,3164.201608,3015.917317,4718.137619,4957.764214,6153.29445,8267.531279,10650.60781,13281.71202,21176.1095,21788.38545,33702.13769,31925.46286,53782.39975,55365.71962,51950.30824,86014.94853,91729.83623,..
World,Production,Other sources,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.14675038,89.51534216,81.03860513,73.23440807,69.03738152,63.19792102,61.95207137,61.10091478,50.78219124,58.90492627,96.45579704,72.9698765,106.4273426,94.05050988,99.24911278,90.49918874,93.25488806,95.31945042,73.82863602,76.60537852,138.1608819,125.1344805,117.5484629,212.3812871,341.1988787,369.0716382,646.5128678,..
World,Production,Electricity,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Heat,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.0426635,95.25514699,437.9462228,353.2083604,404.7130056,476.2627663,339.2860478,386.4870229,562.3013883,633.911028,691.2450368,704.925946,898.37434,832.2170214,627.506066,732.2360405,910.6861402,1171.019932,789.4943565,840.8812704,1182.032443,1039.162948,1240.208121,2145.003412,1780.090711,1450.129512,1895.99167,..
