COUNTRY,FLOW,PRODUCT,1971,2000
Ghana,Production,Solar thermal,0,0
Ghana,Production,"Tide, wave and ocean",0,0
Ghana,Production,Wind,0,0
Ghana,Production,Other sources,0,0
Ghana,Production,Electricity,0,0
Ghana,Production,Heat,0,0
Ghana,Production,Total,2337.6421,4459.2863
Ghana,Production,Memo: Renewables,2337.6421,4459.2863
Ghana,Imports,Hard coal (if no detail),0,x
Ghana,Imports,Brown coal (if no detail),0,x
Ghana,Imports,Anthracite,..,0
Ghana,Imports,Coking coal,..,0
Ghana,Imports,Other bituminous coal,..,0
Ghana,Imports,Sub-bituminous coal,..,0
Ghana,Imports,Lignite,..,0
Ghana,Imports,Patent fuel,0,0
Ghana,Imports,Coke oven coke,0,0
Ghana,Imports,Gas coke,0,0
Ghana,Imports,Coal tar,0,0
Ghana,Imports,BKB,0,0
Ghana,Imports,Gas works gas,0,0
Ghana,Imports,Coke oven gas,0,0
Ghana,Imports,Blast furnace gas,0,0
Ghana,Imports,Other recovered gases,0,0
Ghana,Imports,Peat,0,0
Ghana,Imports,Peat products,0,0
Ghana,Imports,Oil shale and oil sands,0,0
Ghana,Imports,Natural gas,0,0
Ghana,Imports,Crude/NGL/feedstocks (if no detail),x,x
Ghana,Imports,Crude oil,916.2081,1308.1415
Ghana,Imports,Natural gas liquids,0,0
Ghana,Imports,Refinery feedstocks,0,0
Ghana,Imports,Additives/blending components,0,0
Ghana,Imports,Other hydrocarbons,0,0
Ghana,Imports,Refinery gas,0,0
Ghana,Imports,Ethane,0,0
Ghana,Imports,Liquefied petroleum gases (LPG),0,39.5409
Ghana,Imports,Motor gasoline excl. biofuels,0,430.1519
Ghana,Imports,Aviation gasoline,1.07,5.3501
Ghana,Imports,Gasoline type jet fuel,0,0
Ghana,Imports,Kerosene type jet fuel excl. biofuels,21.3051,31.9576
Ghana,Imports,Other kerosene,1.0461,0
Ghana,Imports,Gas/diesel oil excl. biofuels,0,408.5101
Ghana,Imports,Fuel oil,0,0
Ghana,Imports,Naphtha,0,0
Ghana,Imports,White spirit & SBP,0,0
Ghana,Imports,Lubricants,18.0567,31.0977
Ghana,Imports,Bitumen,0,5.589
Ghana,Imports,Paraffin waxes,0,0
Ghana,Imports,Petroleum coke,0,0
Ghana,Imports,Other oil products,0,31.5277
Ghana,Imports,Industrial waste,0,0
Ghana,Imports,Municipal waste (renewable),0,0
Ghana,Imports,Municipal waste (non-renewable),0,0
Ghana,Imports,Primary solid biofuels,0,0
Ghana,Imports,Biogases,0,0
Ghana,Imports,Biogasoline,0,0
Ghana,Imports,Biodiesels,0,0
Ghana,Imports,Bio jet kerosene,0,0
Ghana,Imports,Other liquid biofuels,0,0
Ghana,Imports,Non-specified primary biofuels and waste,0,0
Ghana,Imports,Charcoal,0,0
Ghana,Imports,Elec/heat output from non-specified manufactured gases,0,0
Ghana,Imports,Heat output from non-specified combustible fuels,0,0
Ghana,Imports,Nuclear,0,0
Ghana,Imports,Hydro,0,0
Ghana,Imports,Geothermal,0,0
Ghana,Imports,Solar photovoltaics,0,0
Ghana,Imports,Solar thermal,0,0
Ghana,Imports,"Tide, wave and ocean",0,0
Ghana,Imports,Wind,0,0
Ghana,Imports,Other sources,0,0
Ghana,Imports,Electricity,0,74.2906
Ghana,Imports,Heat,0,0
Ghana,Imports,Total,957.686,2366.1571
Ghana,Imports,Memo: Renewables,0,0
Ghana,Exports,Hard coal (if no detail),0,x
Ghana,Exports,Brown coal (if no detail),0,x
Ghana,Exports,Anthracite,..,0
Ghana,Exports,Coking coal,..,0
Ghana,Exports,Other bituminous coal,..,0
Ghana,Exports,Sub-bituminous coal,..,0
Ghana,Exports,Lignite,..,0
Ghana,Exports,Patent fuel,0,0
Ghana,Exports,Coke oven coke,0,0
Ghana,Exports,Gas coke,0,0
Ghana,Exports,Coal tar,0,0
Ghana,Exports,BKB,0,0
Ghana,Exports,Gas works gas,0,0
Ghana,Exports,Coke oven gas,0,0
Ghana,Exports,Blast furnace gas,0,0
Ghana,Exports,Other recovered gases,0,0
Ghana,Exports,Peat,0,0
Ghana,Exports,Peat products,0,0
Ghana,Exports,Oil shale and oil sands,0,0
Ghana,Exports,Natural gas,0,0
Ghana,Exports,Crude/NGL/feedstocks (if no detail),x,x
Ghana,Exports,Crude oil,0,0
Ghana,Exports,Natural gas liquids,0,0
Ghana,Exports,Refinery feedstocks,0,0
Ghana,Exports,Additives/blending components,0,0
Ghana,Exports,Other hydrocarbons,0,0
Ghana,Exports,Refinery gas,0,0
Ghana,Exports,Ethane,0,0
Ghana,Exports,Liquefied petroleum gases (LPG),0,-6.7784
Ghana,Exports,Motor gasoline excl. biofuels,-4.2801,-103.7929
Ghana,Exports,Aviation gasoline,0,0
Ghana,Exports,Gasoline type jet fuel,0,0
Ghana,Exports,Kerosene type jet fuel excl. biofuels,0,0
Ghana,Exports,Other kerosene,-4.1846,0
Ghana,Exports,Gas/diesel oil excl. biofuels,0,-1.0342
Ghana,Exports,Fuel oil,-177.6297,-183.3907
Ghana,Exports,Naphtha,0,0
Ghana,Exports,White spirit & SBP,0,0
Ghana,Exports,Lubricants,0,0
Ghana,Exports,Bitumen,0,0
Ghana,Exports,Paraffin waxes,0,0
Ghana,Exports,Petroleum coke,0,0
Ghana,Exports,Other oil products,0,0
Ghana,Exports,Industrial waste,0,0
Ghana,Exports,Municipal waste (renewable),0,0
Ghana,Exports,Municipal waste (non-renewable),0,0
Ghana,Exports,Primary solid biofuels,0,0
Ghana,Exports,Biogases,0,0
Ghana,Exports,Biogasoline,0,0
Ghana,Exports,Biodiesels,0,0
Ghana,Exports,Bio jet kerosene,0,0
Ghana,Exports,Other liquid biofuels,0,0
Ghana,Exports,Non-specified primary biofuels and waste,0,0
Ghana,Exports,Charcoal,0,-2.2069
Ghana,Exports,Elec/heat output from non-specified manufactured gases,0,0
Ghana,Exports,Heat output from non-specified combustible fuels,0,0
Ghana,Exports,Nuclear,0,0
Ghana,Exports,Hydro,0,0
Ghana,Exports,Geothermal,0,0
Ghana,Exports,Solar photovoltaics,0,0
Ghana,Exports,Solar thermal,0,0
Ghana,Exports,"Tide, wave and ocean",0,0
Ghana,Exports,Wind,0,0
Ghana,Exports,Other sources,0,0
Ghana,Exports,Electricity,0,-33.7059
Ghana,Exports,Heat,0,0
Ghana,Exports,Total,-186.0944,-330.909
Ghana,Exports,Memo: Renewables,0,-2.2069
Ghana,International marine bunkers,Hard coal (if no detail),0,x
Ghana,International marine bunkers,Brown coal (if no detail),0,x
Ghana,International marine bunkers,Anthracite,..,0
Ghana,International marine bunkers,Coking coal,..,0
Ghana,International marine bunkers,Other bituminous coal,..,0
Ghana,International marine bunkers,Sub-bituminous coal,..,0
Ghana,International marine bunkers,Lignite,..,0
Ghana,International marine bunkers,Patent fuel,0,0
Ghana,International marine bunkers,Coke oven coke,0,0
Ghana,International marine bunkers,Gas coke,0,0
Ghana,International marine bunkers,Coal tar,0,0
Ghana,International marine bunkers,BKB,0,0
Ghana,International marine bunkers,Gas works gas,0,0
Ghana,International marine bunkers,Coke oven gas,0,0
Ghana,International marine bunkers,Blast furnace gas,0,0
Ghana,International marine bunkers,Other recovered gases,0,0
Ghana,International marine bunkers,Peat,0,0
Ghana,International marine bunkers,Peat products,0,0
Ghana,International marine bunkers,Oil shale and oil sands,0,0
Ghana,International marine bunkers,Natural gas,0,0
Ghana,International marine bunkers,Crude/NGL/feedstocks (if no detail),x,x
Ghana,International marine bunkers,Crude oil,0,0
Ghana,International marine bunkers,Natural gas liquids,0,0
Ghana,International marine bunkers,Refinery feedstocks,0,0
Ghana,International marine bunkers,Additives/blending components,0,0
Ghana,International marine bunkers,Other hydrocarbons,0,0
Ghana,International marine bunkers,Refinery gas,0,0
Ghana,International marine bunkers,Ethane,0,0
Ghana,International marine bunkers,Liquefied petroleum gases (LPG),0,0
Ghana,International marine bunkers,Motor gasoline excl. biofuels,0,0
Ghana,International marine bunkers,Aviation gasoline,0,0
Ghana,International marine bunkers,Gasoline type jet fuel,0,0
Ghana,International marine bunkers,Kerosene type jet fuel excl. biofuels,0,0
Ghana,International marine bunkers,Other kerosene,0,0
Ghana,International marine bunkers,Gas/diesel oil excl. biofuels,-28.9577,-51.7101
Ghana,International marine bunkers,Fuel oil,-22.0837,0
Ghana,International marine bunkers,Naphtha,0,0
Ghana,International marine bunkers,White spirit & SBP,0,0
Ghana,International marine bunkers,Lubricants,0,0
Ghana,International marine bunkers,Bitumen,0,0
Ghana,International marine bunkers,Paraffin waxes,0,0
Ghana,International marine bunkers,Petroleum coke,0,0
Ghana,International marine bunkers,Other oil products,0,0
Ghana,International marine bunkers,Industrial waste,0,0
Ghana,International marine bunkers,Municipal waste (renewable),0,0
Ghana,International marine bunkers,Municipal waste (non-renewable),0,0
Ghana,International marine bunkers,Primary solid biofuels,0,0
Ghana,International marine bunkers,Biogases,0,0
Ghana,International marine bunkers,Biogasoline,0,0
Ghana,International marine bunkers,Biodiesels,0,0
Ghana,International marine bunkers,Bio jet kerosene,0,0
Ghana,International marine bunkers,Other liquid biofuels,0,0
Ghana,International marine bunkers,Non-specified primary biofuels and waste,0,0
Ghana,International marine bunkers,Charcoal,0,0
Ghana,International marine bunkers,Elec/heat output from non-specified manufactured gases,0,0
Ghana,International marine bunkers,Heat output from non-specified combustible fuels,0,0
Ghana,International marine bunkers,Nuclear,0,0
Ghana,International marine bunkers,Hydro,0,0
Ghana,International marine bunkers,Geothermal,0,0
Ghana,International marine bunkers,Solar photovoltaics,0,0
Ghana,International marine bunkers,Solar thermal,0,0
Ghana,International marine bunkers,"Tide, wave and ocean",0,0
Ghana,International marine bunkers,Wind,0,0
Ghana,International marine bunkers,Other sources,0,0
Ghana,International marine bunkers,Electricity,0,0
Ghana,International marine bunkers,Heat,0,0
Ghana,International marine bunkers,Total,-51.0414,-51.7101
Ghana,International marine bunkers,Memo: Renewables,0,0
Ghana,International aviation bunkers,Hard coal (if no detail),0,x
Ghana,International aviation bunkers,Brown coal (if no detail),0,x
Ghana,International aviation bunkers,Anthracite,..,0
Ghana,International aviation bunkers,Coking coal,..,0
Ghana,International aviation bunkers,Other bituminous coal,..,0
Ghana,International aviation bunkers,Sub-bituminous coal,..,0
Ghana,International aviation bunkers,Lignite,..,0
Ghana,International aviation bunkers,Patent fuel,0,0
Ghana,International aviation bunkers,Coke oven coke,0,0
Ghana,International aviation bunkers,Gas coke,0,0
Ghana,International aviation bunkers,Coal tar,0,0
Ghana,International aviation bunkers,BKB,0,0
Ghana,International aviation bunkers,Gas works gas,0,0
Ghana,International aviation bunkers,Coke oven gas,0,0
Ghana,International aviation bunkers,Blast furnace gas,0,0
Ghana,International aviation bunkers,Other recovered gases,0,0
Ghana,International aviation bunkers,Peat,0,0
Ghana,International aviation bunkers,Peat products,0,0
Ghana,International aviation bunkers,Oil shale and oil sands,0,0
Ghana,International aviation bunkers,Natural gas,0,0
Ghana,International aviation bunkers,Crude/NGL/feedstocks (if no detail),x,x
Ghana,International aviation bunkers,Crude oil,0,0
Ghana,International aviation bunkers,Natural gas liquids,0,0
Ghana,International aviation bunkers,Refinery feedstocks,0,0
Ghana,International aviation bunkers,Additives/blending components,0,0
Ghana,International aviation bunkers,Other hydrocarbons,0,0
Ghana,International aviation bunkers,Refinery gas,0,0
Ghana,International aviation bunkers,Ethane,0,0
Ghana,International aviation bunkers,Liquefied petroleum gases (LPG),0,0
Ghana,International aviation bunkers,Motor gasoline excl. biofuels,0,0
Ghana,International aviation bunkers,Aviation gasoline,-1.07,-5.3501
Ghana,International aviation bunkers,Gasoline type jet fuel,0,0
Ghana,International aviation bunkers,Kerosene type jet fuel excl. biofuels,-43.6754,-103.3295
Ghana,International aviation bunkers,Other kerosene,0,0
Ghana,International aviation bunkers,Gas/diesel oil excl. biofuels,0,0
Ghana,International aviation bunkers,Fuel oil,0,0
Ghana,International aviation bunkers,Naphtha,0,0
Ghana,International aviation bunkers,White spirit & SBP,0,0
Ghana,International aviation bunkers,Lubricants,0,0
Ghana,International aviation bunkers,Bitumen,0,0
Ghana,International aviation bunkers,Paraffin waxes,0,0
Ghana,International aviation bunkers,Petroleum coke,0,0
Ghana,International aviation bunkers,Other oil products,0,0
Ghana,International aviation bunkers,Industrial waste,0,0
Ghana,International aviation bunkers,Municipal waste (renewable),0,0
Ghana,International aviation bunkers,Municipal waste (non-renewable),0,0
Ghana,International aviation bunkers,Primary solid biofuels,0,0
Ghana,International aviation bunkers,Biogases,0,0
Ghana,International aviation bunkers,Biogasoline,0,0
Ghana,International aviation bunkers,Biodiesels,0,0
Ghana,International aviation bunkers,Bio jet kerosene,0,0
Ghana,International aviation bunkers,Other liquid biofuels,0,0
Ghana,International aviation bunkers,Non-specified primary biofuels and waste,0,0
Ghana,International aviation bunkers,Charcoal,0,0
Ghana,International aviation bunkers,Elec/heat output from non-specified manufactured gases,0,0
Ghana,International aviation bunkers,Heat output from non-specified combustible fuels,0,0
Ghana,International aviation bunkers,Nuclear,0,0
Ghana,International aviation bunkers,Hydro,0,0
Ghana,International aviation bunkers,Geothermal,0,0
Ghana,International aviation bunkers,Solar photovoltaics,0,0
Ghana,International aviation bunkers,Solar thermal,0,0
Ghana,International aviation bunkers,"Tide, wave and ocean",0,0
Ghana,International aviation bunkers,Wind,0,0
Ghana,International aviation bunkers,Other sources,0,0
Ghana,International aviation bunkers,Electricity,0,0
Ghana,International aviation bunkers,Heat,0,0
Ghana,International aviation bunkers,Total,-44.7454,-108.6796
Ghana,International aviation bunkers,Memo: Renewables,0,0
Ghana,Stock changes,Hard coal (if no detail),0,x
Ghana,Stock changes,Brown coal (if no detail),0,x
Ghana,Stock changes,Anthracite,..,0
Ghana,Stock changes,Coking coal,..,0
Ghana,Stock changes,Other bituminous coal,..,0
Ghana,Stock changes,Sub-bituminous coal,..,0
Ghana,Stock changes,Lignite,..,0
Ghana,Stock changes,Patent fuel,0,0
Ghana,Stock changes,Coke oven coke,0,0
Ghana,Stock changes,Gas coke,0,0
Ghana,Stock changes,Coal tar,0,0
Ghana,Stock changes,BKB,0,0
Ghana,Stock changes,Gas works gas,0,0
Ghana,Stock changes,Coke oven gas,0,0
Ghana,Stock changes,Blast furnace gas,0,0
Ghana,Stock changes,Other recovered gases,0,0
Ghana,Stock changes,Peat,0,0
Ghana,Stock changes,Peat products,0,0
Ghana,Stock changes,Oil shale and oil sands,0,0
Ghana,Stock changes,Natural gas,0,0
Ghana,Stock changes,Crude/NGL/feedstocks (if no detail),x,x
Ghana,Stock changes,Crude oil,-20.3602,0
Ghana,Stock changes,Natural gas liquids,0,0
Ghana,Stock changes,Refinery feedstocks,0,0
Ghana,Stock changes,Additives/blending components,0,0
Ghana,Stock changes,Other hydrocarbons,0,0
Ghana,Stock changes,Refinery gas,0,0
Ghana,Stock changes,Ethane,0,0
Ghana,Stock changes,Liquefied petroleum gases (LPG),0,0
Ghana,Stock changes,Motor gasoline excl. biofuels,0,0
Ghana,Stock changes,Aviation gasoline,0,0
Ghana,Stock changes,Gasoline type jet fuel,0,0
Ghana,Stock changes,Kerosene type jet fuel excl. biofuels,0,0
Ghana,Stock changes,Other kerosene,0,0
Ghana,Stock changes,Gas/diesel oil excl. biofuels,11.3762,0
Ghana,Stock changes,Fuel oil,-7.6813,0
Ghana,Stock changes,Naphtha,0,0
Ghana,Stock changes,White spirit & SBP,0,0
Ghana,Stock changes,Lubricants,0,0
Ghana,Stock changes,Bitumen,0,0
Ghana,Stock changes,Paraffin waxes,0,0
Ghana,Stock changes,Petroleum coke,0,0
Ghana,Stock changes,Other oil products,0,0
Ghana,Stock changes,Industrial waste,0,0
Ghana,Stock changes,Municipal waste (renewable),0,0
Ghana,Stock changes,Municipal waste (non-renewable),0,0
Ghana,Stock changes,Primary solid biofuels,0,0
Ghana,Stock changes,Biogases,0,0
Ghana,Stock changes,Biogasoline,0,0
Ghana,Stock changes,Biodiesels,0,0
Ghana,Stock changes,Bio jet kerosene,0,0
Ghana,Stock changes,Other liquid biofuels,0,0
Ghana,Stock changes,Non-specified primary biofuels and waste,0,0
Ghana,Stock changes,Charcoal,0,0
Ghana,Stock changes,Elec/heat output from non-specified manufactured gases,0,0
Ghana,Stock changes,Heat output from non-specified combustible fuels,0,0
Ghana,Stock changes,Nuclear,0,0
Ghana,Stock changes,Hydro,0,0
Ghana,Stock changes,Geothermal,0,0
Ghana,Stock changes,Solar photovoltaics,0,0
Ghana,Stock changes,Solar thermal,0,0
Ghana,Stock changes,"Tide, wave and ocean",0,0
Ghana,Stock changes,Wind,0,0
Ghana,Stock changes,Other sources,0,0
Ghana,Stock changes,Electricity,0,0
Ghana,Stock changes,Heat,0,0
Ghana,Stock changes,Total,-16.6653,0
Ghana,Stock changes,Memo: Renewables,0,0
Ghana,Total primary energy supply,Hard coal (if no detail),0,x
Ghana,Total primary energy supply,Brown coal (if no detail),0,x
Ghana,Total primary energy supply,Anthracite,..,0
Ghana,Total primary energy supply,Coking coal,..,0
Ghana,Total primary energy supply,Other bituminous coal,..,0
Ghana,Total primary energy supply,Sub-bituminous coal,..,0
Ghana,Total primary energy supply,Lignite,..,0
Ghana,Total primary energy supply,Patent fuel,0,0
Ghana,Total primary energy supply,Coke oven coke,0,0
Ghana,Total primary energy supply,Gas coke,0,0
Ghana,Total primary energy supply,Coal tar,0,0
Ghana,Total primary energy supply,BKB,0,0
Ghana,Total primary energy supply,Gas works gas,0,0
Ghana,Total primary energy supply,Coke oven gas,0,0
Ghana,Total primary energy supply,Blast furnace gas,0,0
Ghana,Total primary energy supply,Other recovered gases,0,0
Ghana,Total primary energy supply,Peat,0,0
Ghana,Total primary energy supply,Peat products,0,0
Ghana,Total primary energy supply,Oil shale and oil sands,0,0
Ghana,Total primary energy supply,Natural gas,0,0
Ghana,Total primary energy supply,Crude/NGL/feedstocks (if no detail),x,x
Ghana,Total primary energy supply,Crude oil,895.8479,1308.1415
Ghana,Total primary energy supply,Natural gas liquids,0,0
Ghana,Total primary energy supply,Refinery feedstocks,0,0
Ghana,Total primary energy supply,Additives/blending components,0,0
Ghana,Total primary energy supply,Other hydrocarbons,0,0
Ghana,Total primary energy supply,Refinery gas,0,0
Ghana,Total primary energy supply,Ethane,0,0
Ghana,Total primary energy supply,Liquefied petroleum gases (LPG),0,32.7625
Ghana,Total primary energy supply,Motor gasoline excl. biofuels,-4.2801,326.359
Ghana,Total primary energy supply,Aviation gasoline,0,0
Ghana,Total primary energy supply,Gasoline type jet fuel,0,0
Ghana,Total primary energy supply,Kerosene type jet fuel excl. biofuels,-22.3703,-71.3719
Ghana,Total primary energy supply,Other kerosene,-3.1384,0
Ghana,Total primary energy supply,Gas/diesel oil excl. biofuels,-17.5814,355.7657
Ghana,Total primary energy supply,Fuel oil,-207.3947,-183.3907
Ghana,Total primary energy supply,Naphtha,0,0
Ghana,Total primary energy supply,White spirit & SBP,0,0
Ghana,Total primary energy supply,Lubricants,18.0567,31.0977
Ghana,Total primary energy supply,Bitumen,0,5.589
Ghana,Total primary energy supply,Paraffin waxes,0,0
Ghana,Total primary energy supply,Petroleum coke,0,0
Ghana,Total primary energy supply,Other oil products,0,31.5277
Ghana,Total primary energy supply,Industrial waste,0,0
Ghana,Total primary energy supply,Municipal waste (renewable),0,0
Ghana,Total primary energy supply,Municipal waste (non-renewable),0,0
Ghana,Total primary energy supply,Primary solid biofuels,2087.5131,3891.0146
Ghana,Total primary energy supply,Biogases,0,0
Ghana,Total primary energy supply,Biogasoline,0,0
Ghana,Total primary energy supply,Biodiesels,0,0
Ghana,Total primary energy supply,Bio jet kerosene,0,0
Ghana,Total primary energy supply,Other liquid biofuels,0,0
Ghana,Total primary energy supply,Non-specified primary biofuels and waste,0,0
Ghana,Total primary energy supply,Charcoal,0,-2.2069
Ghana,Total primary energy supply,Elec/heat output from non-specified manufactured gases,0,0
Ghana,Total primary energy supply,Heat output from non-specified combustible fuels,0,0
Ghana,Total primary energy supply,Nuclear,0,0
Ghana,Total primary energy supply,Hydro,250.129,568.2717
Ghana,Total primary energy supply,Geothermal,0,0
Ghana,Total primary energy supply,Solar photovoltaics,0,0
Ghana,Total primary energy supply,Solar thermal,0,0
Ghana,Total primary energy supply,"Tide, wave and ocean",0,0
Ghana,Total primary energy supply,Wind,0,0
Ghana,Total primary energy supply,Other sources,0,0
Ghana,Total primary energy supply,Electricity,0,40.5847
Ghana,Total primary energy supply,Heat,0,0
Ghana,Total primary energy supply,Total,2996.7818,6334.1446
Ghana,Total primary energy supply,Memo: Renewables,2337.6421,4457.0794
Ghana,   Transfers,Hard coal (if no detail),0,x
Ghana,   Transfers,Brown coal (if no detail),0,x
Ghana,   Transfers,Anthracite,..,0
Ghana,   Transfers,Coking coal,..,0
Ghana,   Transfers,Other bituminous coal,..,0
Ghana,   Transfers,Sub-bituminous coal,..,0
Ghana,   Transfers,Lignite,..,0
Ghana,   Transfers,Patent fuel,0,0
Ghana,   Transfers,Coke oven coke,0,0
Ghana,   Transfers,Gas coke,0,0
Ghana,   Transfers,Coal tar,0,0
Ghana,   Transfers,BKB,0,0
Ghana,   Transfers,Gas works gas,0,0
Ghana,   Transfers,Coke oven gas,0,0
Ghana,   Transfers,Blast furnace gas,0,0
Ghana,   Transfers,Other recovered gases,0,0
Ghana,   Transfers,Peat,0,0
Ghana,   Transfers,Peat products,0,0
Ghana,   Transfers,Oil shale and oil sands,0,0
Ghana,   Transfers,Natural gas,0,0
Ghana,   Transfers,Crude/NGL/feedstocks (if no detail),x,x
Ghana,   Transfers,Crude oil,0,0
Ghana,   Transfers,Natural gas liquids,0,0
Ghana,   Transfers,Refinery feedstocks,0,0
Ghana,   Transfers,Additives/blending components,0,0
Ghana,   Transfers,Other hydrocarbons,0,0
Ghana,   Transfers,Refinery gas,0,0
Ghana,   Transfers,Ethane,0,0
Ghana,   Transfers,Liquefied petroleum gases (LPG),0,0
Ghana,   Transfers,Motor gasoline excl. biofuels,0,0
Ghana,   Transfers,Aviation gasoline,0,0
Ghana,   Transfers,Gasoline type jet fuel,0,0
Ghana,   Transfers,Kerosene type jet fuel excl. biofuels,0,0
Ghana,   Transfers,Other kerosene,0,0
Ghana,   Transfers,Gas/diesel oil excl. biofuels,0,0
Ghana,   Transfers,Fuel oil,0,0
Ghana,   Transfers,Naphtha,0,0
Ghana,   Transfers,White spirit & SBP,0,0
Ghana,   Transfers,Lubricants,0,0
Ghana,   Transfers,Bitumen,0,0
Ghana,   Transfers,Paraffin waxes,0,0
Ghana,   Transfers,Petroleum coke,0,0
Ghana,   Transfers,Other oil products,0,0
Ghana,   Transfers,Industrial waste,0,0
Ghana,   Transfers,Municipal waste (renewable),0,0
Ghana,   Transfers,Municipal waste (non-renewable),0,0
Ghana,   Transfers,Primary solid biofuels,0,0
Ghana,   Transfers,Biogases,0,0
Ghana,   Transfers,Biogasoline,0,0
Ghana,   Transfers,Biodiesels,0,0
Ghana,   Transfers,Bio jet kerosene,0,0
Ghana,   Transfers,Other liquid biofuels,0,0
Ghana,   Transfers,Non-specified primary biofuels and waste,0,0
Ghana,   Transfers,Charcoal,0,0
Ghana,   Transfers,Elec/heat output from non-specified manufactured gases,0,0
Ghana,   Transfers,Heat output from non-specified combustible fuels,0,0
Ghana,   Transfers,Nuclear,0,0
Ghana,   Transfers,Hydro,0,0
Ghana,   Transfers,Geothermal,0,0
Ghana,   Transfers,Solar photovoltaics,0,0
Ghana,   Transfers,Solar thermal,0,0
Ghana,   Transfers,"Tide, wave and ocean",0,0
Ghana,   Transfers,Wind,0,0
Ghana,   Transfers,Other sources,0,0
Ghana,   Transfers,Electricity,0,0
Ghana,   Transfers,Heat,0,0
Ghana,   Transfers,Total,0,0
Ghana,   Transfers,Memo: Renewables,0,0
Ghana,   Statistical differences,Hard coal (if no detail),0,x
Ghana,   Statistical differences,Brown coal (if no detail),0,x
Ghana,   Statistical differences,Anthracite,..,0
Ghana,   Statistical differences,Coking coal,..,0
Ghana,   Statistical differences,Other bituminous coal,..,0
Ghana,   Statistical differences,Sub-bituminous coal,..,0
Ghana,   Statistical differences,Lignite,..,0
Ghana,   Statistical differences,Patent fuel,0,0
Ghana,   Statistical differences,Coke oven coke,0,0
Ghana,   Statistical differences,Gas coke,0,0
Ghana,   Statistical differences,Coal tar,0,0
Ghana,   Statistical differences,BKB,0,0
Ghana,   Statistical differences,Gas works gas,0,0
Ghana,   Statistical differences,Coke oven gas,0,0
Ghana,   Statistical differences,Blast furnace gas,0,0
Ghana,   Statistical differences,Other recovered gases,0,0
Ghana,   Statistical differences,Peat,0,0
Ghana,   Statistical differences,Peat products,0,0
Ghana,   Statistical differences,Oil shale and oil sands,0,0
Ghana,   Statistical differences,Natural gas,0,0
Ghana,   Statistical differences,Crude/NGL/feedstocks (if no detail),x,x
Ghana,   Statistical differences,Crude oil,0,0
Ghana,   Statistical differences,Natural gas liquids,0,0
Ghana,   Statistical differences,Refinery feedstocks,0,0
Ghana,   Statistical differences,Additives/blending components,0,0
Ghana,   Statistical differences,Other hydrocarbons,0,0
Ghana,   Statistical differences,Refinery gas,0,0
Ghana,   Statistical differences,Ethane,0,0
Ghana,   Statistical differences,Liquefied petroleum gases (LPG),0,3.3892
